Word,Phonetic,Definition,Example,POS
pyrenees,/pyrenees/,a chain of mountains between France and Spain,,n
races,/races/,any competition,the race for the presidency,n
reaching,/ˈɹiːtʃɪŋ/,"To extend, stretch, or thrust out (for example a limb or object held in the hand).",He reached for a weapon that was on the table.,verb
resort,/resort/,a hotel located in a resort area,,n
resting,/resting/,not move; be in a resting position,,v
ropes,/ɹəʊps/,"Thick strings, yarn, monofilaments, metal wires, or strands of other cordage that are twisted together to form a stronger line.",Nylon rope is usually stronger than similar rope made of plant fibers.,noun
says,/says/,the chance to speak,let him have his say,n
scaled,/skeɪld/,To change the size of something whilst maintaining proportion; especially to change a process in order to produce much larger amounts of the final product.,We should scale that up by a factor of 10.,verb
scaling,/scaling/,the act of arranging in a graduated series,,n
seems,/seems/,give a certain impression or have a certain outward aspect,She seems to be sleeping,v
sets,/sets/,a group of things of the same kind that belong together and are so used,a set of books,n
sherpa,/sherpa/,a member of the Himalayan people living in Nepal and Tibet who are famous for their skill as mountaineers,,n
shining,/ˈʃaɪnɪŋ/,To emit light.,,verb
skis,/skis/,narrow wood or metal or plastic runners used in pairs for gliding over snow,,n
sleeping,/sleeping/,the state of being asleep,,n
spain,/spain/,a parliamentary monarchy in southwestern Europe on the Iberian Peninsula; a former colonial power,,n
started,/started/,take the first step or steps in carrying out an action,We began working at dawn,v
summits,/summits/,the highest level or degree attainable; the highest stage of development,his landscapes were deemed the acme of beauty,n
superhuman,/superhuman/,above or beyond the human or demanding more than human power or endurance,superhuman beings,a
supplies,/supplies/,an amount of something available for use,,n
taking,/taking/,the act of someone who picks up or takes something,the pickings were easy,n
teams,/teams/,a cooperative unit (especially in sports),,n
temperatures,/temperatures/,"A measure of cold or heat, often measurable with a thermometer.",The temperature in the room dropped nearly 20 degrees; it went from hot to cold.,noun
tents,/tɛnts/,"A pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather.",We were camping in a three-man tent.,noun
took,/tuːk/,"To get into one's hands, possession or control, with or without force.",I'll take that plate off the table.,verb
trained,/tɹeɪnd/,To practice an ability.,She trained seven hours a day to prepare for the Olympics.,verb
ultra,/ˈʌltɹə/,An ultraroyalist in France.,,noun
weeks,/wiːks/,Any period of seven consecutive days.,,noun
won,/wʌn/,"To conquer, defeat.",,verb
workouts,/workouts/,An exercise session; a period of physical exercise.,,noun
years,/ji.ə(ɹ)z/,"A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).",we moved to this town a year ago;  I quit smoking exactly one year ago,noun
